address,cysFLR_snapshot1,cysFLR_snapshot2,cysFLR_snapshot3,cysFLR_snapshot4,cysFLR_snapshot5,cysFLR_snapshot6,cysFLR_snapshot7,cysFLR_snapshot8,cysFLR_snapshot9,cysFLR_snapshot10,cysFLR_snapshot11,cysFLR_snapshot12,cysFLR_snapshot13,cysFLR_snapshot14,cysFLR_snapshot15,cysFLR_snapshot16,cysFLR_snapshot17,cysFLR_snapshot18,cysFLR_snapshot19,cysFLR_snapshot20,cysFLR_snapshot21,cysFLR_snapshot22,cysFLR_snapshot23,cysFLR_snapshot24,cysFLR_snapshot25,cysFLR_snapshot26,cysFLR_snapshot27,cysFLR_snapshot28,cysFLR_snapshot29,cysFLR_snapshot30,cysFLR_average,cysFLR_penalty,cysFLR_bounty,cysFLR_final,cysFLR_rewards,cyWETH_snapshot1,cyWETH_snapshot2,cyWETH_snapshot3,cyWETH_snapshot4,cyWETH_snapshot5,cyWETH_snapshot6,cyWETH_snapshot7,cyWETH_snapshot8,cyWETH_snapshot9,cyWETH_snapshot10,cyWETH_snapshot11,cyWETH_snapshot12,cyWETH_snapshot13,cyWETH_snapshot14,cyWETH_snapshot15,cyWETH_snapshot16,cyWETH_snapshot17,cyWETH_snapshot18,cyWETH_snapshot19,cyWETH_snapshot20,cyWETH_snapshot21,cyWETH_snapshot22,cyWETH_snapshot23,cyWETH_snapshot24,cyWETH_snapshot25,cyWETH_snapshot26,cyWETH_snapshot27,cyWETH_snapshot28,cyWETH_snapshot29,cyWETH_snapshot30,cyWETH_average,cyWETH_penalty,cyWETH_bounty,cyWETH_final,cyWETH_rewards,total_rewards
0x103ca065db4ed55afc29724fa2fdaddc71a0fc0f,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,70152968610274615519757,69859968610274615519757,69859968610274615519757,69859968610274615519757,69859968610274615519757,69859968610274615519757,69859968610274615519757,70094368610274615519757,0,0,70094368610274615519757,123519737892515472394016,13197714523845783234044,13197714523845783234044,13197714523845783234044,13197714523845783234044,14445959237138672595435,14445959237138672595435,15108733176038845549805,15108733176038845549805,15108733176038845549805,15108733176038845549805,15108733176038845549805,15108733176038845549805,15108733176038845549805,15108733176038845549805,15108733176038845549805,15108733176038845549805,15108733176038845549805,15108733176038845549805,15108733176038845549805,15108733176038845549805,15108733176038845549805,15108733176038845549805,15196892511966060898207,13196892511966060898207,13006892511966060898207,13006892511966060898207,13006892511966060898207,13006892511966060898207,13006892511966060898207,13006892511966060898207,14328588249400349803652,0,0,14328588249400349803652,38312709856360462619705,161832447748875935013721
0x59047700a48846437c5fd6dda228e05d096b5b5c,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,40013957324499547070119,0,0,40013957324499547070119,70512276788523596189796,14031223437438796457294,14031223437438796457294,14031223437438796457294,14031223437438796457294,14031223437438796457294,14031223437438796457294,14031223437438796457294,14031223437438796457294,14031223437438796457294,14031223437438796457294,14031223437438796457294,14031223437438796457294,14031223437438796457294,14031223437438796457294,14031223437438796457294,14031223437438796457294,14031223437438796457294,14031223437438796457294,14031223437438796457294,14434532516872325758518,14434532516872325758518,14434532516872325758518,14434532516872325758518,14434532516872325758518,14434532516872325758518,14434532516872325758518,14434532516872325758518,14434532516872325758518,14434532516872325758518,14434532516872325758518,14179103433231090534409,0,0,14179103433231090534409,37913007646335417551772,108425284434859013741568
0xc16d2e43904d5359f6c2f2e9b5417f09b84702c1,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,9550111825898976908,0,0,9550111825898976908,16829130969678798614,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,36000000000000000000000,0,0,36000000000000000000000,96259138082685742983855,96275967213655421782469
0xb14076cd1f3ca3953840522cbe4f3eeb48a2ca68,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,17079185061183469489407,0,0,17079185061183469489407,30096803837475681252694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30096803837475681252694
0x869d4b5bd174ffe7c15775bb71e007c290c42761,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,15366732091256178060187,0,0,15366732091256178060187,27079132857732048769430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27079132857732048769430
0xd1a1573fd3a22d9b37e12cd437c9c44de247f8ff,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,1065014474713114239683,0,0,1065014474713114239683,1876760021903042446319,9245873021090518356674,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9383650437387471128930,9379057856844239369854,0,0,9379057856844239369854,25078334036874118038598,26955094058777160484917
0x639aae6253480eed8d68813efb9e3825c1bf402c,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,14991358222791102682749,0,0,14991358222791102682749,26417652017490779679282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26417652017490779679282
0xb70fe3afc4d9c1e118db5ba8f341f6e51ab9f795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,9368651041853651195967,0,0,9368651041853651195967,25050507619063562734127,25050507619063562734127
0x25072d7a24dc21edd8403cf5011b8c0467442493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8482377463891835328745,8096915858305581545331,8096915858305581545331,8096915858305581545331,8096915858305581545331,8096915858305581545331,8096915858305581545331,8096915858305581545331,8096915858305581545331,8096915858305581545331,8096915858305581545331,8096915858305581545331,8096915858305581545331,8096915858305581545331,8096915858305581545331,8096915858305581545331,8096915858305581545331,8096915858305581545331,8096915858305581545331,7750857647655096153187,7750857647655096153187,8148872819136271625324,8148872819136271625324,8148872819136271625324,8148872819136271625324,8148872819136271625324,8148872819136271625324,8148872819136271625324,8494931029786757017468,8494931029786757017468,8125351666740997028776,0,0,8125351666740997028776,21726093001644510633892,21726093001644510633892
0xba30ef8af840e5f86aaee59280b1bc17717a54ef,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,8041950189570347879456,0,0,8041950189570347879456,21503088715331469547231,21503088715331469547231
