address,balance_snapshot1,balance_snapshot2,average_balance
0x0f2163815f0701a361df5e97ddbcf48f744e17da,30367915639324242310594,103249101202147525324857,66808508420735883817725
0x2b462b16cb267f7545eb45829a2ce1559e56bda4,59501240114858168695911,60013102588863526384438,59757171351860847540174
0xb14076cd1f3ca3953840522cbe4f3eeb48a2ca68,14459807245312504051215,20514100769963859351682,17486954007638181701448
0x869d4b5bd174ffe7c15775bb71e007c290c42761,15366732091256178060187,15366732091256178060187,15366732091256178060187
0x4ca48c1be7c32c13da09725a461afd726ce84ae2,3622199242855643006214,14904240153651504762245,9263219698253573884229
0x41c593efc397b77ff910cb4e1adf163bf42a5bf2,7075519849650360189489,7075519849650360189489,7075519849650360189489
0x639aae6253480eed8d68813efb9e3825c1bf402c,3996611412053004425117,6088367830886499653331,5042489621469752039224
0x140703d517e5285a21e673b6dc57c2e0784768fd,3278415084930042776338,6177281157947756049175,4727848121438899412756
0xf3f607e9f1f92601d03ea591f081ec971fd7100b,1520748335192890330448,7540507522343406707730,4530627928768148519089
0xa0037c030d0bb693d8934caeda1851cf216131f2,2110491174790954912685,6344089385167068307640,4227290279979011610162
0x7664432b0cc2630139b8598b2cb3a3cd34fdea92,3804889525614110276101,3804889525614110276101,3804889525614110276101
0x04cd292e81375cb7c80ded796603f84c40a4111d,0,7550193401353996476744,3775096700676998238372
0x55f6c45ba5c2e4c4cf5d764be8cc699c8d2767fc,3720767618045333303675,3720767618045333303675,3720767618045333303675
0xb074efc82ddaaf4f7d347ee920dc8acd3fbbd924,3671606828722446027040,3671606828722446027040,3671606828722446027040
0x233c34f84ec49d414278b16635a3800c5274505c,2500061067261468884757,4826706319729022771578,3663383693495245828167
0xef53d5b8b8479ca82af3156cdc4d54085a4b43fb,3025856080106361578235,3025856080106361578235,3025856080106361578235
0x0eef77a74addeb2ed8ca0f35bdc27eacf5c35ea4,0,4929780134380780922172,2464890067190390461086
