address,cysFLR_snapshot1,cysFLR_snapshot2,cysFLR_average,cyWETH_snapshot1,cyWETH_snapshot2,cyWETH_average,total_snapshot1,total_snapshot2,total_average,penalty,bounty,final_balance
0x2b462b16cb267f7545eb45829a2ce1559e56bda4,91040508055240135899331,115000000286448107214188,103020254170844121556759,0,0,0,91040508055240135899331,115000000286448107214188,103020254170844121556759,0,0,103020254170844121556759
0xca977a85327dd36494d57ff11ca3be02af1142aa,48036539613264106179026,40054713911392761405895,44045626762328433792460,0,0,0,48036539613264106179026,40054713911392761405895,44045626762328433792460,0,0,44045626762328433792460
0x4ca48c1be7c32c13da09725a461afd726ce84ae2,24726815539590006297853,29838946377301980373515,27282880958445993335684,0,0,0,24726815539590006297853,29838946377301980373515,27282880958445993335684,0,0,27282880958445993335684
0x3c1c84132dfdef572e74672917700c065581871d,23934312502203280705851,23934312502203280705851,23934312502203280705851,0,0,0,23934312502203280705851,23934312502203280705851,23934312502203280705851,0,0,23934312502203280705851
0xb14076cd1f3ca3953840522cbe4f3eeb48a2ca68,22749875441566570396279,23963766836128955133302,23356821138847762764790,0,0,0,22749875441566570396279,23963766836128955133302,23356821138847762764790,0,0,23356821138847762764790
0x103ca065db4ed55afc29724fa2fdaddc71a0fc0f,0,39142708447202073775143,19571354223601036887571,0,0,0,0,39142708447202073775143,19571354223601036887571,0,0,19571354223601036887571
0x869d4b5bd174ffe7c15775bb71e007c290c42761,15366732091256178060187,15366732091256178060187,15366732091256178060187,0,0,0,15366732091256178060187,15366732091256178060187,15366732091256178060187,0,0,15366732091256178060187
0xc16d2e43904d5359f6c2f2e9b5417f09b84702c1,2999550111825898976910,24209504586613036628721,13604527349219467802815,687240395362480021314,0,343620197681240010657,3686790507188378998224,24209504586613036628721,13948147546900707813472,0,0,13948147546900707813472
0x1cdb55614743652c0997ed0eabdabf48a0261d84,0,26874396158779248343186,13437198079389624171593,0,0,0,0,26874396158779248343186,13437198079389624171593,0,0,13437198079389624171593
0xf3f607e9f1f92601d03ea591f081ec971fd7100b,11452391794308393785392,12299366963196027312626,11875879378752210549009,0,974422452317787090578,487211226158893545289,11452391794308393785392,13273789415513814403204,12363090604911104094298,0,0,12363090604911104094298
0xa0037c030d0bb693d8934caeda1851cf216131f2,11413346170750329911066,12615564690010679158718,12014455430380504534892,0,8706053370967271758,4353026685483635879,11413346170750329911066,12624270743381646430476,12018808457065988170771,0,0,12018808457065988170771
0xec2fb6ae7213de35c04e3529cc3ab28ab5ad69ed,3732190063979812671290,20093404682431323543264,11912797373205568107277,0,0,0,3732190063979812671290,20093404682431323543264,11912797373205568107277,0,0,11912797373205568107277
0x639aae6253480eed8d68813efb9e3825c1bf402c,9620045348891539023591,11678003843720538003844,10649024596306038513717,0,0,0,9620045348891539023591,11678003843720538003844,10649024596306038513717,0,0,10649024596306038513717
0x140703d517e5285a21e673b6dc57c2e0784768fd,9067431948969411637420,11069009094956846944301,10068220521963129290860,0,419077688662427318839,209538844331213659419,9067431948969411637420,11488086783619274263140,10277759366294342950280,0,0,10277759366294342950280
0x04cd292e81375cb7c80ded796603f84c40a4111d,10017140320663063850818,10017140320663063850818,10017140320663063850818,0,0,0,10017140320663063850818,10017140320663063850818,10017140320663063850818,0,0,10017140320663063850818
0xced9adb484bae919b982ab6326380c9c6241fe15,9594148054238689135720,9844059673546354124702,9719103863892521630211,0,0,0,9594148054238689135720,9844059673546354124702,9719103863892521630211,0,0,9719103863892521630211
0x41c593efc397b77ff910cb4e1adf163bf42a5bf2,8188993216731223129038,8188993216731223129038,8188993216731223129038,0,0,0,8188993216731223129038,8188993216731223129038,8188993216731223129038,0,0,8188993216731223129038
0xd2faa1201ef9e480721f1fbd3417adf78c6b7063,5878295735236672709378,5878295735236672709378,5878295735236672709378,0,0,0,5878295735236672709378,5878295735236672709378,5878295735236672709378,0,0,5878295735236672709378
0x233c34f84ec49d414278b16635a3800c5274505c,5029965091399745551009,5029965091399745551009,5029965091399745551009,0,0,0,5029965091399745551009,5029965091399745551009,5029965091399745551009,0,0,5029965091399745551009
0x7664432b0cc2630139b8598b2cb3a3cd34fdea92,3804889525614110276101,3504889525614110276101,3654889525614110276101,0,292746557220358250711,146373278610179125355,3804889525614110276101,3797636082834468526812,3801262804224289401456,0,0,3801262804224289401456
0x55f6c45ba5c2e4c4cf5d764be8cc699c8d2767fc,3720767618045333303675,3720767618045333303675,3720767618045333303675,0,0,0,3720767618045333303675,3720767618045333303675,3720767618045333303675,0,0,3720767618045333303675
0xb074efc82ddaaf4f7d347ee920dc8acd3fbbd924,3671606828722446027040,3671606828722446027040,3671606828722446027040,0,0,0,3671606828722446027040,3671606828722446027040,3671606828722446027040,0,0,3671606828722446027040
0x910157b3d01d614e4751e1089310e149ea039029,0,952209544367012626640,476104772183506313320,1176731862741088161268,3899109985570069592913,2537920924155578877090,1176731862741088161268,4851319529937082219553,3014025696339085190410,0,0,3014025696339085190410
0xcd414a5760c889b068010c2faa28422b5c0be8df,558710713572988057944,5437221185081360438854,2997965949327174248399,0,0,0,558710713572988057944,5437221185081360438854,2997965949327174248399,0,0,2997965949327174248399
0x0eef77a74addeb2ed8ca0f35bdc27eacf5c35ea4,4929780134380780922172,0,2464890067190390461086,0,0,0,4929780134380780922172,0,2464890067190390461086,0,0,2464890067190390461086
0x3c4a95e52ecf28ac085eb5b59d4d691778afda7a,2394090700846391412119,2394090700846391412119,2394090700846391412119,0,0,0,2394090700846391412119,2394090700846391412119,2394090700846391412119,0,0,2394090700846391412119
0xd14c99b29e1931b44d4301df15ad17efff688c0e,1926199082057127947477,1926199082057127947477,1926199082057127947477,0,0,0,1926199082057127947477,1926199082057127947477,1926199082057127947477,0,0,1926199082057127947477
0xc9bc2f988bc694c918f45a3043e1c87d67b79ad3,0,3713244285486799450404,1856622142743399725202,0,0,0,0,3713244285486799450404,1856622142743399725202,0,0,1856622142743399725202
0xf9d0403789254af862ebc0703693e1f11647a963,1518870712076475916709,1877639485127606252009,1698255098602041084359,0,58279233025537607731,29139616512768803865,1518870712076475916709,1935918718153143859740,1727394715114809888224,0,0,1727394715114809888224
