recipient address,amount wei
0x2b462b16cb267f7545eb45829a2ce1559e56bda4,229285845922035294506463
0xca977a85327dd36494d57ff11ca3be02af1142aa,98029643516690642405373
0x4ca48c1be7c32c13da09725a461afd726ce84ae2,60721830771000727788463
0x3c1c84132dfdef572e74672917700c065581871d,53269127831205959798690
0xb14076cd1f3ca3953840522cbe4f3eeb48a2ca68,51983840808519569863405
0x103ca065db4ed55afc29724fa2fdaddc71a0fc0f,43558759829464252552944
0x869d4b5bd174ffe7c15775bb71e007c290c42761,34200790853786432883403
0xc16d2e43904d5359f6c2f2e9b5417f09b84702c1,31043534449380069285355
0x1cdb55614743652c0997ed0eabdabf48a0261d84,29906345633213781459018
0xf3f607e9f1f92601d03ea591f081ec971fd7100b,27515770664445283457842
0xa0037c030d0bb693d8934caeda1851cf216131f2,26749523054789674130147
0xec2fb6ae7213de35c04e3529cc3ab28ab5ad69ed,26513580703106684944059
0x639aae6253480eed8d68813efb9e3825c1bf402c,23700879331548090917740
0x140703d517e5285a21e673b6dc57c2e0784768fd,22874577134860614784107
0x04cd292e81375cb7c80ded796603f84c40a4111d,22294533348112969277115
0xced9adb484bae919b982ab6326380c9c6241fe15,21631211929851708619192
0x41c593efc397b77ff910cb4e1adf163bf42a5bf2,18225738735164321002286
0xd2faa1201ef9e480721f1fbd3417adf78c6b7063,13082961414543647566278
0x233c34f84ec49d414278b16635a3800c5274505c,11194884056753714694279
0x7664432b0cc2630139b8598b2cb3a3cd34fdea92,8460236918005972783837
0x55f6c45ba5c2e4c4cf5d764be8cc699c8d2767fc,8281083731050265958042
0xb074efc82ddaaf4f7d347ee920dc8acd3fbbd924,8171669584707737951784
0x910157b3d01d614e4751e1089310e149ea039029,6708131687093430769600
0xcd414a5760c889b068010c2faa28422b5c0be8df,6672388495537978335881
0x0eef77a74addeb2ed8ca0f35bdc27eacf5c35ea4,5485954278692887440698
0x3c4a95e52ecf28ac085eb5b59d4d691778afda7a,5328380481835355519694
0xd14c99b29e1931b44d4301df15ad17efff688c0e,4287022872330559395591
0xc9bc2f988bc694c918f45a3043e1c87d67b79ad3,4132169756158291516375
0xf9d0403789254af862ebc0703693e1f11647a963,3844556215514014581060
0x21ff3c05de1c752c4ab87af330f409e691302edc,3809977638002122938570
0xc43a5c7c55ff4ce40c54d8350803041e95084adb,3770759837821064389011
0x078255d40df5b1834d1fbbf80c6549ce54d1e5c7,3704698889041128669991
0xd5a22c790c948cd0062bb3f1f657d566f8407c25,3428710858711944160276
0x71eeb63a0edeb36d8a604c31b8f66bb74faf3921,3286713997473958067874
0xb2c41a8d0337e19d856973cfe71b7b6f81ca4303,3235657889747337956810
0x03b3de2b874ec661d2f9a76296b69e1fc52f0d28,3093093850555528388367
0x822c3175b8331a4c6130307677408bb2b7f12b6d,2937034737896928322644
0x26ed991954929922816cacbb3aeef6c991d69265,2930231164314010450810
0xb4778d16e1f8159c033e5452c4ad9a2396746702,2897903244963804626831
0xa281c46bef794568c60494bc3c4e9f2d677381b3,2896088667632015992780
0x013a22a4dcc363310307c9b43d002799ff8509d8,2611783009153481976234
0x99a144ddbc8a0e2938878c2655fc1ce9620639f7,2573535087820301014659
0x44a72b9e0f74efdc57e95e4dc52715d9433bb056,2433047692603151701664
0xa7db569237278963bd4943f28691ab5d887686b6,2247942888749453168880
0x08e8cb7f47d9656a565cfcdfea7ab9696b98bad7,2111906561877509161669
0x683200fb57409b116e98d27aab7cb876703a88d4,1967147219496489579225
0x54ef479112cdb204ca7f333faa72e78645e5543e,1915972214559807756747
0x28de514641034f2d900cf17c25cefbfec851559a,1655002608284531134761
0x40b4efdc2a243837c2d740f0894835f63349cfb9,1626292785888058289383
0x6e654785d5f4517ec49847ec03159e6d97304576,1568097263373120035186
0xffe3b4d98afbe052aeb35a3da7f299b8e503c7ef,1455142617181763132522
0x04d8f6af720bc1ca644a4c5e9f92606924eaebcf,1445402548026556388839
0x172b8e8fa5a6729fdcd494e9d4d702f670321f91,1442511331059639448759
0xc380adc6dae4cf7af8d09f953e9f190dcef583aa,1428058307434388188845
0x97d745f411e88cc6224dd991bb344c3d6d8b4ed6,1346902168992703710595
0x3fee441b642f782aaaad78064be04f42e924c17b,1287226550392874979207
0x8e42778ccc4d8a17874561704a6653bce460a624,1254057815264644113120
0xfaa9312c80b762985a2270b8c98cbcc1e70ba86d,1148284315719216547510
