block,direction,counterparty,value,action,inApproved,out,net
37072922,IN,0x0f3d8a38d4,687.24,"approved_in(+687.24) then undo(-687.24) = net 0",0.00,0.00,0.00
37646480,OUT,0x650a362134,343.62,"transfersOut += 343.62",0.00,343.62,0.00
37771506,OUT,0x650a362134,343.62,"transfersOut += 343.62",0.00,687.24,0.00
38230279,IN,0x650a362134,4234.85,"approved_in(+4234.85) then undo(-4234.85) = net 0",0.00,687.24,0.00
38230279,IN,0xfddf7f16aa,277.42,"approved_in(+277.42) then undo(-277.42) = net 0",0.00,687.24,0.00
38235212,IN,0x650a362134,456.77,"approved_in(+456.77) then undo(-456.77) = net 0",0.00,687.24,0.00
38235266,IN,0x650a362134,399.52,"approved_in(+399.52) then undo(-399.52) = net 0",0.00,687.24,0.00
38236292,IN,0x650a362134,1493.41,"approved_in(+1493.41) then undo(-1493.41) = net 0",0.00,687.24,0.00
38238102,IN,0x650a362134,412.50,"approved_in(+412.50) then undo(-412.50) = net 0",0.00,687.24,0.00
38238142,IN,0x650a362134,398.78,"approved_in(+398.78) then undo(-398.78) = net 0",0.00,687.24,0.00
38238595,IN,0x650a362134,400.36,"approved_in(+400.36) then undo(-400.36) = net 0",0.00,687.24,0.00
38321087,IN,0x650a362134,1056.82,"approved_in(+1056.82) then undo(-1056.82) = net 0",0.00,687.24,0.00
39353492,IN,0x650a362134,1176.30,"approved_in(+1176.30) then undo(-1176.30) = net 0",0.00,687.24,0.00
39392556,IN,0x650a362134,714.78,"approved_in(+714.78) then undo(-714.78) = net 0",0.00,687.24,0.00
40803664,IN,0x650a362134,1236.17,"approved_in(+1236.17) then undo(-1236.17) = net 0",0.00,687.24,0.00
41036709,IN,0x650a362134,1327.78,"approved_in(+1327.78) then undo(-1327.78) = net 0",0.00,687.24,0.00
41235801,OUT,0x650a362134,585.47,"transfersOut += 585.47",0.00,1272.71,0.00
41369578,IN,0x650a362134,1669.15,"approved_in(+1669.15) then undo(-1669.15) = net 0",0.00,1272.71,0.00
45390037,IN,0x8c7ba8f245,1367.76,"approved_in(+1367.76) then undo(-1367.76) = net 0",0.00,1272.71,0.00
45773307,IN,0x8c7ba8f245,1368.71,"approved_in(+1368.71) then undo(-1368.71) = net 0",0.00,1272.71,0.00
48936855,IN,0x8c7ba8f245,11772.31,"approved_in(+11772.31) then undo(-11772.31) = net 0",0.00,1272.71,0.00
48936909,OUT,0x8c7ba8f245,2917.93,"transfersOut += 2917.93",0.00,4190.64,0.00
48937344,OUT,0x8c7ba8f245,1260.00,"transfersOut += 1260.00",0.00,5450.64,0.00
48937702,OUT,0x8c7ba8f245,5000.00,"transfersOut += 5000.00",0.00,10450.64,0.00
51027726,IN,0x8c7ba8f245,10730.12,"approved_in(+10730.12) then undo(-10730.12) = net 0",0.00,10450.64,0.00
51028016,OUT,0x8c7ba8f245,730.00,"transfersOut += 730.00",0.00,11180.64,0.00
51082588,IN,0x8c7ba8f245,5071.70,"approved_in(+5071.70) then undo(-5071.70) = net 0",0.00,11180.64,0.00
