recipient address,amount wei
0xd60e6c82af520b9e016facf3a1bd39ca5ce85d4c,643032952334321520682
0xa02f65c8e2e3d8539c25bdc8285f663bf2229a5d,606436158406708974649
0x403c82b10b6309601a38513b2430998fab87c1fe,553929342240387566506
0xb5e44b60ae2b0a00e607dcfeadd356a3610be9c0,553361573969235464409
0xf88ed04c5556853862b79f37bb3c062db8b5eba6,549410809903345055093
0x4b5e1dcd48ef1d48b608aa0cc09f0bcb70caaab3,540621046854896364379
0x01db901a9f15b81fbf0650fa1c146f96b68282f2,539166154989832309807
0x4a8977354010225d0d342c25af92887964d48922,534170278700603485413
0xa5e7080f72a366cd3db686cdb4e10316a1e712f5,516704699505169347918
0xc8b90a411b1830e5246251633fd5399d7defb7f4,488507570532685495573
0xd814d1e28b449ec0964e2caab70c5f268c5052e8,470348828412331876534
0xa3779929f13d1e9177dcf9ce0b8a40df57022dc3,452977296382011372586
0x0717b0d673cbeeb964d43c8d299ad4734101a0fe,446542518395884048820
0xb30dd0e567ed68efb05263258b2cc0791ff145ea,442395690827234876256
0x5a7d8f26281274d2f26a7e865679f31685659bae,438259084765112193546
0x8f65d27c67f4aec557059d9a113ad95b7869bb59,415098063055588021426
0xa28a97b2f112c59657a325300add7b2fa0713b4f,402678757230744973385
0x776e3cc00a9471bf071a8c798fdc0671c6e5ed37,392569865442740477306
0x04127d0b7784ed0932fd7ebd7db5464be51a17f6,379483675613371110477
0x7505f118dacfc0ecfa1f1398c244c67b58113510,346370356148469250122
0x5690fc225d43bb6322361827110e9efed1afdc07,334135447298333643275
0xb92b0092c51cd380fcc8806757897c31409e277c,332850734575541312955
0x4e35c4a81969b776fba131506c2ebd1333ea764d,329770710172981850640
0x534aed1268c2ad78ef1e62ee86ab9fbca7544724,321490921631682921693
0x6a458d1ac0fcf70cb5ba83e78c34efa7565ba1b3,319962940343758396955
0xf0f8bbe09edd55fabc1baef0cec6fa18f3637815,301886731157080852154
0xbacef66a73a4a6859092af8afac46bd2b021c376,292747845599712749984
0xc8f3dc95a6678d9db2e0a5b35ccbb51785e69753,289186862904735652547
0x1d59a0d0d1bc18e8738c7d5060888737dd002707,278968573481185494159
0x37375c5b004f56615cbb410ae0bc770b73795499,275119672074311391147
0x838d720b4cc42dc7ebdee60ab8ecc04bbedbe459,269030949919503528152
0x43df613c93b28d3c7946defa13002096756a9b47,263124876681490668729
0x384348039e8d91e930a0e31762cd903b6c63b01b,259601128125742313146
0xe8bd64ed3ae0a16ebc76b74ef98336742f58f1fb,253708032730992741553
0xf0eeb5963d12232cf9d558a60fc8e135a3ac3dc4,250043070714493687574
