recipient address,amount wei
0x59047700a48846437c5fd6dda228e05d096b5b5c,135612631117489154429868
0xc16d2e43904d5359f6c2f2e9b5417f09b84702c1,97063087668115128918286
0xba30ef8af840e5f86aaee59280b1bc17717a54ef,27825078394243842269426
0xb70fe3afc4d9c1e118db5ba8f341f6e51ab9f795,22664029041103240043402
0xd5a22c790c948cd0062bb3f1f657d566f8407c25,20249889172043714314458
0xd1a1573fd3a22d9b37e12cd437c9c44de247f8ff,18558231136017616638212
0x517864ca89a6de02502b45e70294dce2016a49e0,18410609412402922500988
0x6a836bddaf968c342e0a86ca21e67b4464ef6a1c,18034802515092744419637
0xabca8a8b5787860aa8f6c478747314bccb702e61,17499793853859536320672
0xb83f6ec41a81c47d7dde14348c816ae752c9bd03,15022467457346104829133
0x80ed9a16f42e38c6ebf43d19b1e2c3dfdb34788f,14520921871693408120920
0xd71e5358ca8306aa68655c2523aeaa5a4ab191b1,13467949613296581044013
0x43bcfdea39d63dd08e2948871c12bc4255ab62ee,11105433464990599824666
0x45b834a360488b9a51e46f8d76e022a147b54460,10796507115264122461476
0xa607b4f45c57c3078ee313fc4ceed372f1e6cccd,9292126486221646064734
0xde237ecbec398f02ce8fc8d4ababe9ad2988af80,6794722648737571472174
0x304b0ea7d15d03963696ed9f0520ba0175d61e18,5539458840150104701910
0xf1bee8834c4745726172dfbe9edc9ff08ef2245c,5501965670887871458060
0x3c1c84132dfdef572e74672917700c065581871d,4927268575615993700608
0x820e9b01dd1fa16e9cb79ae54c6a66da4abf9562,4187165310172984085636
0x57d539ad75e1ae12ece5a405d898916a6fb68faa,3337350892424209722619
0x5a10a69e78c1b64cf8ca5235cafdff298b280b6f,3206334116880709951492
0xd2faa1201ef9e480721f1fbd3417adf78c6b7063,2794810201768264901293
0x31c351c33f8657986d7c45b384ea73b2151511f0,2467597313638013279372
0x4876ab76a3af12b375c19e76cb0cbb45ce023fe8,1801294289525791550805
0x002ab7e9fdd61a4e64541a786034f5e36693a627,1760434287778183813658
0x092c0f2af38dbf75415f896225ed9c9435f548c0,1167894718209759726803
0x5bbfdb11abe1109c5c239088e62388cfc305e522,1060164775549146469439
0x5f339d24f72d02e3fc9020fa9f16695c554d6867,776245661658163850288
0xa02f65c8e2e3d8539c25bdc8285f663bf2229a5d,682473647500646575399
0xb5b5ac6f6064f0de452149e9c7bac376bf71f734,578417652728231296720
0xf5dcee91409cf103f84b209425aacfba335d6bf3,315096556297428523833
0xe8bd64ed3ae0a16ebc76b74ef98336742f58f1fb,314326093748469877349
0x09ec36b6cf27285205b8f6617d59e0e9705d865a,282912925575635113043
0x77e45b1034b32f05f60f0df9d7182633f1f621ee,266288381980032813129
0x38c76d307521182891e90be38b826064e7f0fcb5,254103546929153023120
0x679a68fd44654d9a67563f204523bc1005477873,234867129519474020929
0x9bb62551ee90fe2a0929d098cadd77ffa393c6d3,187552389986207375000
0xd507b55a3c55d704375a93c24b7092c13c061e04,182792760946234440298
0x575a590e56acd5644c486e0dfa3d99bbb31e8246,178229945166835444931
0xda614b9fc056430e890bdd6a4c0df9e2b351643b,177059521230727400662
0x13d211560571a5e065f0fa4195456949085135d4,162575418384374457531
0x776e3cc00a9471bf071a8c798fdc0671c6e5ed37,148556856489470509522
0x1dbe2c010cdeba22606798438ebd3075980924fa,137544485920922971974
0x956647ef4f3f7cdcb1cb42cec653f63ce104f84e,84751872650315938441
0xa9844214b5cc539e9c9e36935641faa71f8cd00d,84458827777129045810
0x64b53691a7a26744e4fc05120ed6dbdb02ca335a,74106669491718135802
0xc4992aaf70002e1c4738082be4b4bbe6b2a909a5,68773621334941814788
0x1eeb33f734caf7b8c823760825bae2fb3acd0994,51721300744134839423
0x93acbf50da57390fd1dddff40178920636b686e0,50759088826606830107
0xe4cd5dc0541f2f4b2b0bbb5b1ac73a2bf4f7b2f2,12206811043293658342
0x7fcebd30aedb2a6cda68df4205bb45339c21a00d,5675823116389079016
0xfd6597554f07daf3c1f1d408d1eef3caa0dab8d9,4197367079622341477
0x770c4d67f26be9d7a44ede7c5a641a14aceb5f33,3025545800144939681
0x4cdb03fe0bb0b9a86b967496257a662c505392f0,2963656531588264837
0x646e0d1f620ddfb5ba2e6c2a1cf837e0701a1409,2605780406001462172
0x8aa4935c541d3be452ff3c5147afc57fd3fdeffb,1881074315569386798
0xadbb45d3361223815f98a252753207548c4331f2,1636222403624558329
0xe93d21305219bc5f2088861a9225eef149f17b95,1135903170241318311
0xa11e7ae3ffebfbae7fe2eea4d8c05d89ac7c6ea1,1037500727703659140
